sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
82983,6,120.04,0,0.9947,207.0
82984,7,198.19,0,0.9947,197.0
82985,6,115.56,0,0.9948,207.0
82986,1,2137.94,0,0.9937,354.0
82987,8,183.53,0,0.9945,172.0
82988,1,641.6,0,0.9936,358.0
82989,1,713.95,0,0.994,334.0
82990,1,1945.06,0,0.9839,341.0
82991,1,2511.88,0,0.9941,337.0
82992,1,2127.2,0,0.9938,351.0
82993,1,1291.41,0,0.9935,363.0
82994,1,520.03,0,0.9937,357.0
82995,1,12.27,0,0.9937,347.0
82998,1,2890.78,0,0.9934,366.0
82999,7,401.35,0,0.9945,176.0
83000,1,6267.3,0,0.9312,345.0
83001,1,5568.58,0,0.9941,329.0
83002,1,5928.57,0,0.9939,337.0
83003,1,1847.45,0,0.9941,330.0
83004,2,1432.16,0,0.9942,323.0
83005,8,110.42,0,0.9945,173.0
83006,1,925.6,0,0.994,343.0
83007,7,166.01,0,0.9947,199.0
83008,6,220.95,0,0.9948,205.0
83009,6,232.38,0,0.9947,204.0
83010,6,0.26,0,0.9948,206.0
83011,7,15.45,0,0.9947,185.0
83012,6,158.45,0,0.9948,203.0
83013,6,197.08,0,0.9948,210.0
83014,7,0.14,0,0.9947,183.0
83016,7,1.31,0,0.9947,192.0
83017,7,2.23,0,0.9946,176.0
83018,8,0.33,0,0.9946,173.0
83026,7,0.41,0,0.9947,183.0
83027,7,142.49,0,0.9947,178.0
83028,7,207.73,0,0.9947,176.0
83029,8,153.13,0,0.9947,171.0
